class_labels,query
"['bottom clothes (trousers, pants, etc.)', 'human face', 'human face', 'top clothes (coat, jacket, shirt, etc.)', 'bottom clothes (trousers, pants, etc.)', 'human face', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'top clothes (coat, jacket, shirt, etc.)', 'bottom clothes (trousers, pants, etc.)', 'human face', 'top clothes (coat, jacket, shirt, etc.)', 'top clothes (coat, jacket, shirt, etc.)', 'bottom clothes (trousers, pants, etc.)', 'bottom clothes (trousers, pants, etc.)', 'bottom clothes (trousers, pants, etc.)', 'human face', 'human face', 'top clothes (coat, jacket, shirt, etc.)', 'top clothes (coat, jacket, shirt, etc.)']",studio palace shirt
"['others', 'others', 'snacks, nuts, liquor and tea', 'others', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'others', 'others', 'others']",direct candy
"['luggage, leather goods']",to carry quick-drying towel
"['others', 'others']",sale books
"['others', 'furniture']",sale books
"['others', 'toys', 'toys']",sale books
"['top clothes (coat, jacket, shirt, etc.)']",1998 home football clothes
"['others', 'others']",hospital equipment entity lotion
['others'],sword tire
"['bottom clothes (trousers, pants, etc.)']",lace stitching stretch denim pants
"['others', 'others', 'others', 'others']",imported cotton cleaning office equipment
"['others', 'others']",black shrink pores beauty film
"['others', 'others', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'human face', 'human face', 'others', 'others', 'human face']",crown flight stamp
"['others', 'others', 'others', 'others']",spacing connector
['others'],shi metallic supplies
"['others', 'others', 'others', 'others']",ricom concentrated thirty-seven
"['others', 'others', 'others', 'others', 'others']",emperor accessories
"['others', 'others', 'others', 'others', 'toys']",gold i can books
"['bottom clothes (trousers, pants, etc.)', 'luggage, leather goods', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'shoes', 'shoes', 'human face', 'top clothes (coat, jacket, shirt, etc.)']",zoo embroidery casual pants
"['others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'others']",original glory bumper
"['top clothes (coat, jacket, shirt, etc.)']",three-breasted summer underwear
['others'],relay
"['others', 'others', 'others', 'furniture', 'others', 'furniture', 'others']",office hand partition curtain
"['others', 'others']",sparkling handmade glass
"['others', 'others', 'others', 'others', 'others']",thread american standard gauge
"['others', 'snacks, nuts, liquor and tea']",prairie ultra-dry beef
['others'],accessible hardcover books
"['others', 'others', 'others', 'others', 'others']",dovetail gb nail
"['others', 'others', 'top clothes (coat, jacket, shirt, etc.)']",wool three-dimensional pillow
['others'],children's flat handmade paper
['others'],seedling more meat
"['others', 'others', 'furniture', 'others', 'luggage, leather goods', 'others']",children's stool
"['others', 'others', 'others', 'toys', 'others']",teaching the whole solution books
"['others', 'others', 'others', 'others', 'others']",garden plant seeds
"['snacks, nuts, liquor and tea', 'others', 'snacks, nuts, liquor and tea']",factory defends wood carving
"['others', 'others']",northeast wild and vegetables
"['makeup, perfume, beauty tools and essential oils']",moisturizing pure lotion
"['human face', 'others']",art painting
"['bottom clothes (trousers, pants, etc.)', 'top clothes (coat, jacket, shirt, etc.)']",work at night reflective safety clothing
"['others', 'others']",applicable toner cartridges
"['others', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)']",delicate silver jewelry
"['others', 'others', 'others']",minimalist pioneer decorative painting
"['accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)']",for men and women opening of necklaces
['others'],authentic hole with a ring
"['others', 'others', 'bottle drink', 'others']",limited edition adidas cup
"['others', 'others', 'others']",flavor barbecue seasoning
"['makeup, perfume, beauty tools and essential oils']",dry cleaning soft shampoo
['others'],belts
"['others', 'others']",through the white collagen facial cream
"['others', 'others', 'others', 'others']",long pastoral lamps
"['others', 'others', 'others']",large bar dice
['others'],accessories digital calendar
"['others', 'others', 'top clothes (coat, jacket, shirt, etc.)', 'human face', 'shoes']",wind counter genuine pants
"['others', 'others', 'others', 'others']",gwangyang accessories
"['others', 'others']",aspherical imported magnifying glass
"['others', 'others', 'others']",circuit multicolor accessories
"['makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils']",stainless steel bolts
"['furniture', 'others', 'others', 'furniture', 'snacks, nuts, liquor and tea', 'furniture']",round european lamps
"['bottom clothes (trousers, pants, etc.)']",cotton baby underwear
"['others', 'others', 'others']",baby squeezer
"['others', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea']",free punch carvings
['others'],dutch three yabo rui saw palmetto
"['others', 'others', 'digital supplies', 'makeup, perfume, beauty tools and essential oils', 'others', 'others']",stainless steel reset latch bolt
['shoes'],fashion genuine leather boots
"['others', 'others', 'makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils']",soothing counter genuine cleansing
"['others', 'others']",daily multifunction first aid kit first aid kit
"['others', 'others', 'others', 'toys', 'others', 'shoes', 'others', 'others', 'others', 'others']",minimalist natural earrings
"['snacks, nuts, liquor and tea', 'snacks, nuts, liquor and tea', 'others', 'others', 'others', 'others', 'others']",the world instant cold noodles
"['others', 'others']",red camera
['others'],buying home distribution box
"['others', 'others']",wholesale lucky fish feed
['others'],accessories original binding supplies
"['top clothes (coat, jacket, shirt, etc.)', 'others', 'others', 'others', 'others', 'others', 'human face', 'others']",accessories spark plug
['others'],laura books
"['others', 'others', 'others', 'others', 'others']",multifunction diapers
['others'],knitted circumference belts
"['top clothes (coat, jacket, shirt, etc.)', 'others']",embroidery sequins fabric
"['others', 'others']",handmade witch cross-stitch
"['luggage, leather goods']",plaid baby hat
"['skirt & dress', 'human face', 'top clothes (coat, jacket, shirt, etc.)', 'shoes', 'shoes', 'others', 'others']",foreign language original journals
"['top clothes (coat, jacket, shirt, etc.)', 'human face']",back and neck massage shawl
"['human face', 'others', 'bottom clothes (trousers, pants, etc.)', 'top clothes (coat, jacket, shirt, etc.)', 'others', 'others']",thick wild section pants
"['others', 'others']",suitable for ribbon
['others'],photo laminator
"['makeup, perfume, beauty tools and essential oils', 'human face', 'others', 'makeup, perfume, beauty tools and essential oils', 'others', 'others']",light powder
"['others', 'others']",photo plastic film
"['others', 'others', 'others', 'others', 'others']",art stamp
"['others', 'others', 'others']",viscosity strong tape
"['others', 'others', 'others', 'others']",charlie oil painting
"['others', 'others', 'others']",auo display
['others'],strong ultra-light super-hard fishing rod fishing
"['others', 'others', 'others', 'others', 'others', 'others', 'others']",senior protection comb
['others'],professional education books
"['bottom clothes (trousers, pants, etc.)', 'others']",spring and summer models cotton baby pants
"['others', 'others', 'others']",office living room painting
['others'],cable
"['others', 'others', 'others', 'others']",embroidery gu embroidery
['others'],bathroom stainless steel basin accessories
"['human face', 'top clothes (coat, jacket, shirt, etc.)']",genuine books
['others'],popular handlebar
['others'],seiko plus health brush
"['others', 'toys', 'toys']",applicable ribbon
['others'],ultra-five engineering network cable
"['snacks, nuts, liquor and tea']",raw materials mayonnaise
"['bottle drink', 'others', 'others', 'others', 'others', 'others']",color still life genuine books
['others'],nephrite throwing leather jewelry
['others'],stepper motor
['others'],east china books
"['others', 'others', 'others']",security pot
"['top clothes (coat, jacket, shirt, etc.)']",screaming rock t-shirt
['others'],hole a of dress disposable lunch boxes
"['human face', 'human face', 'human face', 'others']",beauty west island books
"['others', 'others']",water silk protein smd mask
"['others', 'others', 'others']",stainless steel authentic ring
['others'],round glass aquarium
['others'],toilet personalized signs
"['others', 'others', 'others', 'others']",senior single branch watercolor pen
"['others', 'others', 'others', 'others']",primary school children's room wall stickers
"['luggage, leather goods', 'others', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)']",youth big face books
['others'],full wrapping paper
['others'],genuine classic books
"['others', 'others']",free bag rubbing poking back brush
"['accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'shoes', 'others', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)', 'accessories (jewelry, clothing accessories, belts, hats, scarves, etc.)']",flowers short paragraph necklace
"['top clothes (coat, jacket, shirt, etc.)', 'bottom clothes (trousers, pants, etc.)', 'human face', 'shoes']",sleeve silk shirt
"['others', 'others']",whitening gongchen enjoy cream
"['others', 'others']",domestic chopping
"['others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'others', 'others']",lined with professional tape
"['others', 'others', 'others', 'others']",fabric yi fenge wallpaper
"['others', 'others', 'others']",suitable for lamps
['others'],natural color comb
"['makeup, perfume, beauty tools and essential oils', 'others', 'makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils', 'makeup, perfume, beauty tools and essential oils', 'others', 'others']",ocean world care suit
"['top clothes (coat, jacket, shirt, etc.)', 'top clothes (coat, jacket, shirt, etc.)', 'bottom clothes (trousers, pants, etc.)']",girls long-sleeved clothing suit
"['others', 'others', 'others', 'others']",high precision factory reducer
['others'],baking special jam
"['others', 'furniture']",applicable toner cartridges
"['others', 'others', 'others', 'others']",performance dish made ballet accessories
['others'],home imported plastic wrap
"['others', 'others']",official electronic books
['others'],culture books
"['others', 'others']",glass kindergarten wall stickers
"['top clothes (coat, jacket, shirt, etc.)']",short-sleeved flaws sweater
"['others', 'others']",classic works journals
"['others', 'top clothes (coat, jacket, shirt, etc.)']",female models ultra-light jacket suit
